EventID,SampleID,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,MaterialSampleID,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_flag,Organic Matter Concentration (Amount or Mass)_DOC,Organic Matter Concentration (Amount or Mass)_DOC_flag,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Pigment concentrations_flag","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Picoplankton_flag","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton_flag","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton_flag",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (isotope uptake)_flag,Community Production Rate_Primary Production (Oxygen),Community Production Rate_Primary Production (Oxygen)_flag,Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (isotope uptake)_flag,Community Production Rate_Bacterial Production (respiration),Community Production Rate_Bacterial Production (respiration)_flag,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD173_2019-06,OSD173_2019-06_NPL022_1,OSD173,2019-06-24T11:34:00Z,51.44,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD173_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422954,PRJEB40763,PRJEB40764,PRJEB40762
OSD174_2019-06,OSD174_2019-06_NPL022_1,OSD174,2019-06-24T10:52:00Z,51.47,3.06,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD174_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422953,PRJEB40763,PRJEB40764,PRJEB40762
OSD175_2019-06,OSD175_2019-06_NPL022_1,OSD175,2019-06-25T10:00:00Z,51.33,2.5,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD175_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422952,PRJEB40763,PRJEB40764,PRJEB40762
OSD176_2019-06,OSD176_2019-06_NPL022_1,OSD176,2019-06-25T10:56:00Z,51.28,2.61,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD176_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422951,PRJEB40763,PRJEB40764,PRJEB40762
OSD177_2019-06,OSD177_2019-06_NPL022_1,OSD177,2019-06-25T12:37:00Z,51.18,2.7,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD177_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422950,PRJEB40763,PRJEB40764,PRJEB40762
OSD18_2019-06,OSD18_2019-06_NPL022_1,OSD18,2019-06-21T08:30:00Z,35.36,33.3,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25196,RV Teal Jr,65,NPL022,OSD18_2019-06_1_NPL022,OSD-Jun-2019,not provided,"5L Niskin bottle, SBE 19Plus V2 Seacat Profiler","5 Liter Niskin Bottle deployed consecutively 6 times by winch to collect total of 32 liters sample water from 65 m of depth. Collected sample water simultaneously filtered through Stricup filters by using Vacuum Pumps, DNA isolated from filters.","Total DNA isolated: Filter 1: 5.3 ng/ul, last volume 100 ul. Filter 2: 12.73 ng/ul, last volume 100 ul.",17,115,PVDF Stericup 0.22μm 73mm 1000ml,particulate matter,no prefiltration,0.22,no treatment,-80,17.45,39.13,5.012746,,0.2995,,65,,,,,,,,,,,,8.065,,7.3529,,3.1526,,0.4621,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422984,PRJEB40763,PRJEB40764,PRJEB40762
OSD2_2019-06,OSD2_2019-06_NPL022_1,OSD2,2019-06-26T13:05:00Z,48.78,-3.94,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,NPL022,OSD2_2019-06_1_NPL022,OSD-Jun-2019,not provided,Hand pump,Hand pumping,few wind and foggy,4,50,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,14.16,35.21,,,0.5163,,1,,1.3 μmol/l,,0.14 μmol/l,,0.18 μmol/l,,1.6 μmol/l,,0.96 μmol/l,,7.882,,5.94 ml/l,Given unit does not match required unit (micromol/kg).,906 photons/m2/sec,Given unit does not match required unit (mE/m^2/s).,,,,,,,,,,,0.34 mg/m3,,,,,,,,,,,,,,,,SAMEA7422988,PRJEB40763,PRJEB40764,PRJEB40762
OSD210_2019-06,OSD210_2019-06_NPL022_1,OSD210,2019-06-21T05:40:00Z,43.11,3.08,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,none,0,NPL022,OSD210_2019-06_1_NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,2.6,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,22,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422949,PRJEB40763,PRJEB40764,PRJEB40762
OSD211_2019-06,OSD211_2019-06_NPL022_1,OSD211,2019-06-21T06:50:00Z,42.97,3,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,none,0,NPL022,OSD211_2019-06_1_NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.33,45,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,21.9,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422948,PRJEB40763,PRJEB40764,PRJEB40762
OSD219_2019-06,OSD219_2019-06_NPL022_1,OSD219,2019-06-21T11:44:00Z,53.21,-9.27,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,RV Celtic Voyager,1,NPL022,OSD219_2019-06_1_NPL022,OSD-Jun-2019,not provided,CTD,not provided,not provided,2,43,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-20 to -71,14.7,33.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422947,PRJEB40763,,PRJEB40762
OSD22_2019-06,OSD22_2019-06_NPL022_1,OSD22,2019-06-21T06:29:00Z,43.3,5.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,Research Boat - Antedon II,2,NPL022,OSD22_2019-06_1_NPL022,OSD-Jun-2019,prokaryotes diversity in the Bay of Marseille,3 x 18L Single Niskin bottle,not provided,not provided,5,35,Sterivex,not provided,not provided,0.22,no treatment,-80,20.36,38.3,51.98,,,,2,,,,,,,,,,,,,,5.23 ml/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422983,PRJEB40763,PRJEB40764,PRJEB40762
OSD223_2019-06,OSD223_2019-06_NPL022_1,OSD223,2019-06-21T09:00:00Z,54.48,18.57,marginal sea biome [ENVO:01000046], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,not provided,0,NPL022,OSD223_2019-06_1_NPL022,OSD-Jun-2019,Prokaryotes,10% acid washed buckets,vacuum pump (mechanical),not provided,0.5,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,20.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422946,PRJEB40763,PRJEB40764,PRJEB40762
OSD224_2019-06,OSD224_2019-06_NPL022_1,OSD224,6/21/2019 11:30,53,4.79,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26877,not provided,1,NPL022,OSD224_2019-06_1_NPL022,OSD-Jun-2019,determining microbial composition at interface of the North Sea and Wadden Sea,Niskin bottle,"1m depth water collected from the NIOZ pier ""Jetty""",not provided,1.8,20,Sterivex,sterivex-filtered seawater,no prefiltration,0.22,no treatment,-80,16.7,30.85,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422945,PRJEB40763,PRJEB40764,PRJEB40762
OSD227_2019-06,OSD227_2019-06_NPL022_1,OSD227,6/27/2019 12:30,48.67,-3.89,estuarine biome [ENVO:01000020], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,1,NPL022,OSD227_2019-06_1_NPL022,OSD-Jun-2019,not provided,hand pump,hand pumping,"Northeast wind (53.2o), 45.6km/h (max 54km/h), cloudy",1.9,35,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,17.13,34.98,,,2.41,,1.25,,,,,,,,,,,,,,,,1100 photons/m2/s,Given unit does not match required unit (mE/m^2/s).,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422944,PRJEB40763,PRJEB40764,PRJEB40762
OSD232_2019-06,OSD232_2019-06_NPL022_1,OSD232,2019-06-21T09:00:00Z,40.8,14.34,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD232_2019-06_1_NPL022,OSD-Jun-2019,OSD_232_Prok,sampling water from the beach,tank,green water mass,0.95,45,Tank,sea water,not provided,0.22,no treatment,-20,26.28,36.57,56.5 mS/cm,,,,0,,,,,,,,,,,,8.07,,8.44 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422943,PRJEB40763,,PRJEB40762
OSD237_2019-06,OSD237_2019-06_NPL022_1,OSD237,2019-06-21T12:00:00Z,43.34,-3.01,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD237_2019-06_1_NPL022,OSD-Jun-2019,identification of microbial diversity in GETXO Marina and Bilbao Harbour,5l bucket (1m),by hand from floating jetty or pontoon,marina under tidal influences Bilbao river and salinity can drop to 3 psu at low tide,3,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,18.8,34.6,46.2181 mS/cm,,,,4,,,,,,,,,,,,8.38,,9 mg/l,Given unit does not match required unit (micromol/kg).,,,0.58 FNU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422942,PRJEB40763,PRJEB40764,PRJEB40762
OSD238_2019-06,OSD238_2019-06_NPL022_1,OSD238,2019-06-21T09:35:00Z,43.42,-2.96,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD238_2019-06_1_NPL022,OSD-Jun-2019,identification of microbial diversity of Plentzia Bay,5l bucket (1m),by hand through the deck,not provided,5,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,17.4,36.4,46.894 mS/cm,,,,8.5 - 9.7,,,,,,,,,,,,8.18,,8.09 mg/l,Given unit does not match required unit (micromol/kg).,,,0.19 FNU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422941,PRJEB40763,PRJEB40764,PRJEB40762
OSD24_2019-06,OSD24_2019-06_NPL022_1,OSD24,2019-06-21T11:47:00Z,35.19,-2.88,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,1,NPL022,OSD24_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat ,not provided,1.08,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,25,38.18,55.5 mS/cm,,,,,,,,,,30-50,,,,,,8.08,,,,,,3.97 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422982,PRJEB40763,PRJEB40764,PRJEB40762
OSD26_2019-06,OSD26_2019-06_NPL022_1,OSD26,2019-06-21T11:00:00Z,35.82,-5.75,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,not provided,1,NPL022,OSD26_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets from the coastline,not provided,1.44,49,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,23.5,not provided,11.29 mS/cm,,,,1,,,,,,30-50,,,,,,8.12,,,,,,5.98 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422981,PRJEB40763,PRJEB40764,PRJEB40762
OSD39_2019-06,OSD39_2019-06_NPL022_1,OSD39,2019-06-21T10:39:00Z,32.75,-79.9,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,off cove by South Carolina Department at Natural Resources,1,NPL022,OSD39_2019-06_1_NPL022,OSD-Jun-2019,not provided,2L Nalgene bottle,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1,376,Sterivex,particulate matter,not provided,0.22,no treatment,-80,28.01,21.13,33.81 mS/cm,,,,1,,,,,,,,,,,,7.77,,6.72 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422980,PRJEB40763,PRJEB40764,PRJEB40762
