To be published,EventID,Event Date/Time,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,SiteID,Sampling Platform,Depth,Protocol Label,Temperature,Salinity,Sampling Campaign,SAMPLE_Investigators,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage
1,OSD173_2019-06,2019-06-24T11:34:00Z/2019-06-24T11:36:00Z,2019-06-24T11:34:00Z,51.44,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD173,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
1,OSD174_2019-06,2019-06-24T10:52:00Z/2019-06-24T10:54:00Z,2019-06-24T10:52:00Z,51.47,3.06,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD174,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
1,OSD175_2019-06,2019-06-25T10:00:00Z/2019-06-25T10:02:00Z,2019-06-25T10:00:00Z,51.33,2.50,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD175,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
1,OSD176_2019-06,2019-06-25T10:56:00Z/2019-06-25T10:58:00Z,2019-06-25T10:56:00Z,51.28,2.61,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD176,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
1,OSD177_2019-06,2019-06-25T12:37:00Z/2019-06-25T12:39:00Z,2019-06-25T12:37:00Z,51.18,2.70,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD177,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
0,OSD18_2019-06,2019-06-21T08:30:00Z/2019-06-21T09:30:00Z,2019-06-21T08:30:00Z,35.36,33.30,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25196,OSD18,RV Teal Jr,65,NPL022,17.45,39.13,OSD-Jun-2019,"SALIHOGLU, Ilkay/ SERAKINCI, Nedime, ilkay.salihoglu@kyrenia.edu.tr/nedime.serakinci@neu.edu.tr",not provided,"5L Niskin bottle, SBE 19Plus V2 Seacat Profiler","5 Liter Niskin Bottle deployed consecutively 6 times by winch to collect total of 32 liters sample water from 65 m of depth. Collected sample water simultaneously filtered through Stricup filters by using Vacuum Pumps, DNA isolated from filters.","Total DNA isolated: Filter 1: 5.3 ng/ul, last volume 100 ul. Filter 2: 12.73 ng/ul, last volume 100 ul.",17.00,115,PVDF Stericup 0.22μm 73mm 1000ml,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD2_2019-06,2019-06-26T13:05:00Z/2019-06-26T13:25:00Z,2019-06-26T13:05:00Z,48.78,-3.94,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,OSD2,RV Neomysis,1,NPL022,14.16,35.21,OSD-Jun-2019,"JEANTHON, Christian/ GARCZAREK Laurence/ CARIOU Thierry, jeanthon@sb-roscoff.fr/garczare@sb-roscoff.fr/cariou@sb-roscoff.fr",not provided,Hand pump,Hand pumping,few wind and foggy,4.00,50,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD210_2019-06,2019-06-21T05:40:00Z/2019-06-21T06:00:00Z,2019-06-21T05:40:00Z,43.11,3.08,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD210,none,0,NPL022,22.00,41.00,OSD-Jun-2019,"CONAN, Pascal/ BEIER, Sara, Leibniz Institute for Baltic Sea Research (in collaboration with the Observatoire Oceanologique de Banyuls sur Mer), conan@obs-banyuls.fr/ sara.beier@io-warnemuende.de",not provided,not provided,not provided,not provided,2.60,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD211_2019-06,2019-06-21T06:50:00Z/2019-06-21T07:10:00Z,2019-06-21T06:50:00Z,42.97,3.00,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD211,none,0,NPL022,21.90,36.00,OSD-Jun-2019,"CONAN, Pascal/ BEIER, Sara, Leibniz Institute for Baltic Sea Research (in collaboration with the Observatoire Oceanologique de Banyuls sur Mer), conan@obs-banyuls.fr/ sara.beier@io-warnemuende.de",not provided,not provided,not provided,not provided,1.33,45,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD219_2019-06,2019-06-21T11:44:00Z,2019-06-21T11:44:00Z,53.21,-9.27,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,OSD219,RV Celtic Voyager,1,NPL022,14.70,33.83,OSD-Jun-2019,"ALLCOCK, Louise/ EDWARDS, Maeve/ FENNELL, Sheena, Ryan Institute and School of Natural Sciences, louise.allcock@nuigalway.ie/ maeve.edwards@nuigalway.ie",not provided,CTD,not provided,not provided,2.00,43,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-20 to -71
1,OSD22_2019-06,2019-06-21T06:29:00Z/2019-06-21T12:30:00Z,2019-06-21T06:29:00Z,43.30,5.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD22,Research Boat - Antedon II,2,NPL022,20.36,38.30,OSD-Jun-2019,"GREGORI, Gerald/VERNETTE, Caroline, gerald.gregon@univ_aino.fr/caroline.vesnette@mio.osypytheas.fr",prokaryotes diversity in the Bay of Marseille,3 x 18L Single Niskin bottle,not provided,not provided,5.00,35,Sterivex,not provided,not provided,0.22,no treatment,-80
1,OSD223_2019-06,2019-06-21T09:00:00Z/2019-06-21T09:30:00Z,2019-06-21T09:00:00Z,54.48,18.57,marginal sea biome [ENVO:01000046], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,OSD223,not provided,0,NPL022,20.80,6.30,OSD-Jun-2019,"MICHNOWSKA, Alicja, University of Gdansk, alicja.michnowska@ug.edu.pl",Prokaryotes,10% acid washed buckets,vacuum pump (mechanical),not provided,0.50,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD224_2019-06,2019-06-21T011:30:00Z/2019-06-21T11:30:00Z,2019-06-21 11:30:00,53.00,4.79,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26877,OSD224,not provided,1,NPL022,16.70,30.85,OSD-Jun-2019,"BOLHUIS, Henk/ AMARAL ZETTLER, Linda/ROSSELLI, Riccardo, Royal Netherlands Institute for Sea Research, henk.bolhuis@nioz.nl/ linda.amaral-zettler@nioz.nl/riccardo.rosselli@nioz.nl",determining microbial composition at interface of the North Sea and Wadden Sea,Niskin bottle,"1m depth water collected from the NIOZ pier ""Jetty""",not provided,1.80,20,Sterivex,sterivex-filtered seawater,no prefiltration,0.22,no treatment,-80
1,OSD227_2019-06,2019-06-27T012:30:00Z/2019-06-27T12:35:00Z,2019-06-27 12:30:00,48.67,-3.89,estuarine biome [ENVO:01000020], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,OSD227,not provided,1,NPL022,17.13,34.98,OSD-Jun-2019,"COMTET, Thierry, Station Biologique de Roscoff. France, comtet@sb-roscoff.fr",not provided,hand pump,hand pumping,"Northeast wind (53.2o), 45.6km/h (max 54km/h), cloudy",1.90,35,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD232_2019-06,2019-06-21T09:00:00Z/2019-06-21T13:00:00Z,2019-06-21T09:00:00Z,40.80,14.34,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,OSD232,not provided,0,NPL022,26.28,36.57,OSD-Jun-2019,"BRUNET, Christophe/ PASSARELI, Augusto/ RASTELLI, Eugenio, Stazione Zoologica Anton Dohrn. Naples. Italy, christophe.brunet@szn.it/ augusto.passarelli@szn.it/ eugenio.rastelli@szn.it",OSD_232_Prok,sampling water from the beach,tank,green water mass,0.95,45,Tank,sea water,not provided,0.22,no treatment,-20
1,OSD237_2019-06,2019-06-21T12:00:00Z/2019-06-21T12:30:00Z,2019-06-21T12:00:00Z,43.34,-3.01,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,OSD237,not provided,1,NPL022,18.80,34.60,OSD-Jun-2019,"CANCIO, Ibon/ BLANCO, Esther/ DIAZ DE CERIO Oihane, Plentzia Marine Station, ibon.cancio@ehu.es/ esther.blanco@ehu.es/ oihane.diazdecerio@ehu.es",identification of microbial diversity in GETXO Marina and Bilbao Harbour,5l bucket (1m),by hand from floating jetty or pontoon,marina under tidal influences Bilbao river and salinity can drop to 3 psu at low tide,3.00,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD238_2019-06,2019-06-21T09:35:00Z/2019-06-21T09:47:00Z,2019-06-21T09:35:00Z,43.42,-2.96,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,OSD238,not provided,1,NPL022,17.40,36.40,OSD-Jun-2019,"CANCIO, Ibon/ BLANCO, Esther/ DIAZ DE CERIO Oihane, Plentzia Marine Station, ibon.cancio@ehu.es/ esther.blanco@ehu.es/ oihane.diazdecerio@ehu.es",identification of microbial diversity of Plentzia Bay,5l bucket (1m),by hand through the deck,not provided,5.00,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD24_2019-06,2019-06-21T11:47:00Z/2019-06-21T12:30:00Z,2019-06-21T11:47:00Z,35.19,-2.88,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,OSD24,not provided,1,NPL022,25.00,38.18,OSD-Jun-2019,"GHAZAL, Hassan/  CHAOUNI, Bouchra, Faculty of Sciences of Oujda, hassan.ghazal@fulbrightmail.org/ bouchrachaouni@gmail.com",not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat ,not provided,1.08,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80
1,OSD26_2019-06,2019-06-21T11:00:00Z/2019-06-21T11:40:00Z,2019-06-21T11:00:00Z,35.82,-5.75,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,OSD26,not provided,1,NPL022,23.50,not provided,OSD-Jun-2019,"GHAZAL, Hassan/  CHAOUNI, Bouchra/ CHAHBOUN Rajaa, Faculty of Sciences of Oujda, hassan.ghazal@fulbrightmail.org/ bouchrachaouni@gmail.com/ chahraja@hotmail.com",not provided,5L bucket,the water was collected in a 5L buckets from the coastline,not provided,1.44,49,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80
1,OSD39_2019-06,2019-06-21T10:39:00Z/2019-06-21T10:45:00Z,2019-06-21T10:39:00Z,32.75,-79.90,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,OSD39,off cove by South Carolina Department at Natural Resources,1,NPL022,28.01,21.13,OSD-Jun-2019,"CHANG, Keity/ WADE, Joe/ DELORENZO, Marie, keity.chang@nova.gov/joe.wade@nova.gov/Marie.De.Lorenzo@nova.gov",not provided,2L Nalgene bottle,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1.00,376,Sterivex,particulate matter,not provided,0.22,no treatment,-80
1,OSD4_2019-06,2019-06-21T10:20:00Z/2019-06-21T14:30:00Z,2019-06-21T10:20:00Z,40.81,14.25,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,OSD4,not provided,0,NPL022,26.00,37.11,OSD-Jun-2019,"CASOTTI, Rafaella/ DONNARUMMA, Vincenzo, rafaella.casotti@szn.it/ vincenzo.dommarumma@szn.it, ",not provided,Niskin bottle,not provided,not provided,1.00,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD43_2019-06,2019-06-21T12:10:00Z/2019-06-21T12:35:00Z,2019-06-21T12:10:00Z,32.87,-117.26,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,OSD43,Pier with bucket,0,NPL022,18.33,34.00,OSD-Jun-2019,"GOODWIN, Kelly/ Nagarkar Montreyi, kelly.goodwin@noua.gov/mnagarka@ucsd.edu",not provided,Bucket (RNAse Away + Ethanol closed rihese 2x securelor),Pier wench,not provided,3.00,68,Sterivex,particulate matter,not provided,0.22,no treatment,-80
1,OSD47_2019-06,2019-06-21T10:45:00Z/2019-06-21T10:45:00Z,2019-06-21T10:45:00Z,45.50,12.42,lagoon [ENVO:00000038], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,OSD47,UNIPD Boat,0,NPL022,not provided,not provided,OSD-Jun-2019,"VEZZI, Alessandro/ DE PASCALE Fabio/ SCHIAVON Ricardo, alessandro.vezzi@unipd.it/fabio.deposcale@unipd.it/riccardo.shiavon@unipd.it",not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.42,4,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD48_2019-06,2019-06-21T08:28:00Z/2019-06-21T08:29:00Z,2019-06-21T08:28:00Z,45.41,12.53,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,OSD48,UNIPD Boat,0,NPL022,not provided,not provided,OSD-Jun-2019,"VEZZI, Alessandro/ DE PASCALE Fabio/ SCHIAVON Ricardo, alessandro.vezzi@unipd.it/fabio.deposcale@unipd.it/riccardo.shiavon@unipd.it",not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.66,9,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD49_2019-06,2019-06-21T12:00:00Z/2019-06-21T13:00:00Z,2019-06-21T12:00:00Z,45.53,13.55,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3385,OSD49,Boja Vida,0,NPL022,24.70,37.10,OSD-Jun-2019,"TURK, Valentina/ TURK DEMRASTIA, Timotej, valentina.turk@nib.si/timotej.turkdermastia@nib.si",not provided,Sampling with boat (hired Piran Aquarium),Sampling with Niskin bottle at 5m depth (Clean bucket),Cleaning and sampling was performed according to the OSD protocol,0.50,120,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD54_2019-06,2019-06-21T11:35:00Z/2019-06-21T11:50:00Z,2019-06-21T11:35:00Z,43.84,-69.64,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,OSD54,Floating Dock,1,NPL022,15.10,29.00,OSD-Jun-2019,"POULTON, Nicole/ LUBELCZYK, Laura/ GODRIJAN, Jelena, npoutton@bigelow.org/lluberlczyk@bigelow.org/jgodrijan@bigelow.org",collect samples off the Booth Bay Harbor Dock as part of a time series for DNA analysis and flow cytometry,5L Niskin Bottle,4 x 5L Niskin to fill a 20 L carboy,"Prokaryotic samples, not prefiltered",1.15,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD55_2019-06,2019-06-21T11:39:00Z/2019-06-21T11:50:00Z,2019-06-21T11:39:00Z,43.86,-69.58,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,OSD55,Floating Dock,1,NPL022,11.40,31.00,OSD-Jun-2019,"POULTON, Nicole/ LUBELCZYK, Laura/ GODRIJAN, Jelena, npoutton@bigelow.org/lluberlczyk@bigelow.org/jgodrijan@bigelow.org",collect samples of the Damariscotta river water for DNA analysis and flow cytometry,2.5L Niskin Bottle,9 x 2.5L Nisktin deployed to fill a 20L carboy,"Prokaryotic samples, not prefiltered",3.00,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD60_2019-06,2019-06-21T11:40:00Z/2019-06-21T11:42:00Z,2019-06-21T11:40:00Z,33.33,-79.17,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,OSD60,Jon Boat,0,NPL022,26.80,34.56,OSD-Jun-2019,"CHANG, Katy/ WADE, Joe/ DELAENZO Menie, katy.chang@noua.gov/joe.wade@noua.gov/ menie.delaenzo@noua.gov",not provided,2L Nalgene bottles,"Hand dipped, submerged under water to fill bottle",Prokaryotic samples,0.60,86,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD63_2019-06,2019-06-21T10:00:00Z/2019-06-21T10:30:00Z,2019-06-21T10:00:00Z,45.31,12.51,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,OSD63,"CNR ""LITUS"" Boat`",0,NPL022,25.47,32.04,OSD-Jun-2019,"CAMATTI, Elisa/ PANSERA Marco, elisa.camatti@ve.ismar.cnr.it/ marco.pansera@ve.ismar.cnr.it",not provided,Washed bucket,not provided,not provided,1.30,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD69_2019-06,2019-06-21T13:50:00Z/2019-06-21T13:51:00Z,2019-06-21T13:50:00Z,45.46,12.26,lagoon [ENVO:00000038], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,OSD69,UNIPD Boat,0,NPL022,not provided,not provided,OSD-Jun-2019,"VEZZI, Alessandro/ DE PASCALE Fabio/ SCHIAVON Riccardo, alessandro.vezzi@unipd.it/fabio.depascale@unipd.it/riccardo.schiaon@unipd.it",not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.48,5,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
