Sample title,sample_description,taxon_id,sequencing_platform,library_strategy,library_source,library_selection,library_layout,indexing_layout,nominal_length,forward_read_file_name,forward_read_file_checksum,reverse_read_file_name,reverse_read_file_checksum,checksum_method,environmental package,Event Date/Time,Latitude Start,Longitude Start,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Site,Sampling Platform,Depth,Protocol Label,Temperature,Salinity,Sampling Campaign,SAMPLING_Investigators,SAMPLING_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity (L),SAMPLE_Filtration time (min),SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_Upper-Threshold,SAMPLE_Size-Fraction_Lower-Threshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage
OSD22_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CJOSDA_2_1_HYLGGDSXX.12BA091_clean.fastq.gz,7a6b3fd351eb9c639c2a128b648c09a8,CRC_CJOSDA_2_2_HYLGGDSXX.12BA091_clean.fastq.gz,719e28212df76bddc27c785486d19cb7,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD24_2019-06_1_NPL022,surface water sample from the Mediterranean Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD24-2019_S109_L001_R1_001.fastq.gz,b54f4ce5f41647b7c2789331147c6603b3c6196127f4e75a36dbcacb7acce329,OSD24-2019_S109_L001_R2_001.fastq.gz,2d2827ffdd0dccbfbb02acd81fd8f939a9d8d582ee19ee2eecf852983196b927,SHA-256,water,2019-06-21T11:47:00Z/2019-06-21T12:30:00Z,35.19,-2.88,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,"OSD24, Marchica Morroco",not provided,1,NPL022,25.00,38.18,OSD-Jun-2019,"GHAZAL, Hassan/  CHAOUNI, Bouchra, Faculty of Sciences of Oujda, hassan.ghazal@fulbrightmail.org/ bouchrachaouni@gmail.com",not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat ,not provided,1.08,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,none,-80
OSD24_2019-06_1_NPL022,,,,,,,,,180,OSD24-2019_S13_L001_R1_001.fastq.gz,7b512a807671048255a219f7bfb7da072b5f7e9e7b34a64460cdb1ba232d7ed2,OSD24-2019_S13_L001_R2_001.fastq.gz,d24e1914df6b29f6f8ebc09b64d21383c5ee918fd6e7716075f5e123ea8e42eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD24_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CKOSDA_2_1_HYLGGDSXX.12BA008_clean.fastq.gz,c6285595dca0d3bc1798523ae5e6c2ab,CRC_CKOSDA_2_2_HYLGGDSXX.12BA008_clean.fastq.gz,b330b1f94fd1a1e73675d36688ce0042,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD26_2019-06_1_NPL022,surface water sample from the Mediterranean Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD26-2019_S110_L001_R1_001.fastq.gz,0337555e7269973085358bfa8015d468745eaa0fb08995fa607a24800687af97,OSD26-2019_S110_L001_R2_001.fastq.gz,14b848b99da3dbd84045662e3a503e276ae82b2ad3ad4223301d143de8c2ed2c,SHA-256,water,2019-06-21T11:00:00Z/2019-06-21T11:40:00Z,35.82,-5.75,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,"OSD26, Tangier Morroco",not provided,1,NPL022,23.50,not provided,OSD-Jun-2019,"GHAZAL, Hassan/  CHAOUNI, Bouchra/ CHAHBOUN Rajaa, Faculty of Sciences of Oujda, hassan.ghazal@fulbrightmail.org/ bouchrachaouni@gmail.com/ chahraja@hotmail.com",not provided,5L bucket,the water was collected in a 5L buckets from the coastline,not provided,1.44,49,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,none,-80
OSD26_2019-06_1_NPL022,,,,,,,,,180,OSD26-2019_S14_L001_R1_001.fastq.gz,68bea419ce5824bc8548f65fe86d7f77dfaeae317bf06a9e376a97ce9bedabb8,OSD26-2019_S14_L001_R2_001.fastq.gz,7671b577d2be9fc3ced12625acb562a978c2d16481716b6067bfca2be6814c0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD26_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CLOSDA_2_1_HYLGGDSXX.12BA020_clean.fastq.gz,d2f0ab8ecefa8051863010cae6322a43,CRC_CLOSDA_2_2_HYLGGDSXX.12BA020_clean.fastq.gz,87326f2b75eb3c17b2a3c4b49dfc9349,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD39_2019-06_1_NPL022,surface water sample from the Charleston Harbor,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD39-2019_S118_L001_R1_001.fastq.gz,ed21a505f22fee974c8819ce6e1bd704266c83d599316fb3812fcb7089c98eb0,OSD39-2019_S118_L001_R2_001.fastq.gz,a6fb7da8b0ab8d92a075215debf4fd6c434c6f78ba36aef28176371498357aa1,SHA-256,water,2019-06-21T10:39:00Z/2019-06-21T10:45:00Z,32.75,-79.90,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,"OSD39, Charleston Harbor USA",off cove by South Carolina Department at Natural Resources,1,NPL022,28.01,21.13,OSD-Jun-2019,"CHANG, Keity/ WADE, Joe/ DELORENZO, Marie, keity.chang@nova.gov/joe.wade@nova.gov/Marie.De.Lorenzo@nova.gov",not provided,2L Nalgene bottle,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1.00,376,Sterivex,particulate matter,not provided,0.22,none,-80
OSD39_2019-06_1_NPL022,,,,,,,,,180,OSD39-2019_S22_L001_R1_001.fastq.gz,aaaedf0ebefd04347b5f9c899eca59531073c93d197e6d52283db5d1b24e89d1,OSD39-2019_S22_L001_R2_001.fastq.gz,bda3e791f0eb1cf2fec2c271c115b62489308548b160d70f9673589f2a84464f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD39_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CMOSDA_2_1_HYLGGDSXX.12BA032_clean.fastq.gz,ec7cb4d93d3288fb4fcf9c320956a99f,CRC_CMOSDA_2_2_HYLGGDSXX.12BA032_clean.fastq.gz,5dac718c9e7e7408bd7d039d7c1cfdf2,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD43_2019-06_1_NPL022,surface water sample from the Coastal Pacific Ocean,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD43-2019_S119_L001_R1_001.fastq.gz,dce68eb4d0911cb373607d722ed754787c92de86d4fd23fe7b9d79bad7232060,OSD43-2019_S119_L001_R2_001.fastq.gz,d99bd84239266815fcd0dc798c5361f2605c3147ebe4a068c0c773242c1f884b,SHA-256,water,2019-06-21T12:10:00Z/2019-06-21T12:35:00Z,32.87,-117.26,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,"OSD43, California Scripps USA",Pier with bucket,0,NPL022,18.33,34.00,OSD-Jun-2019,"GOODWIN, Kelly/ Nagarkar Montreyi, kelly.goodwin@noua.gov/mnagarka@ucsd.edu",not provided,Bucket (RNAse Away + Ethanol closed rihese 2x securelor),Pier wench,not provided,3.00,68,Sterivex,particulate matter,not provided,0.22,none,-80
OSD43_2019-06_1_NPL022,,,,,,,,,180,OSD43-2019_S23_L001_R1_001.fastq.gz,c99145453b4a4bedd5e09f3f7f0aa0357888eb682f9c58cbc9270a51638c103f,OSD43-2019_S23_L001_R2_001.fastq.gz,91f62647413686a2089cb1cd2a57205ec7cae769b9ac6de83cd10e28d62ae863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD43_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CNOSDA_2_1_HYLGGDSXX.12BA044_clean.fastq.gz,adaee649ef9a703ebe3fe8a2beefa3cb,CRC_CNOSDA_2_2_HYLGGDSXX.12BA044_clean.fastq.gz,19f8346478541ca20c24d36c9fbdf63d,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD47_2019-06_1_NPL022,surface water sample from the Adriatic Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD47-2019_S120_L001_R1_001.fastq.gz,ac584f13d97a037e97b6c2c045786bfc481f3e51a8b9ebca51d8eea4b4128af4,OSD47-2019_S120_L001_R2_001.fastq.gz,dab605fca6df14841e07529e9bb2b2ea5646af3d5dd89075fc101da3961c855d,SHA-256,water,2019-06-21T10:45:00Z/2019-06-21T10:45:00Z,45.50,12.42,lagoon [ENVO:00000038], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,"OSD47, Venice Lagoon Italy",UNIPD Boat,0,NPL022,not provided,not provided,OSD-Jun-2019,"VEZZI, Alessandro/ DE PASCALE Fabio/ SCHIAVON Ricardo, alessandro.vezzi@unipd.it/fabio.deposcale@unipd.it/riccardo.shiavon@unipd.it",not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.42,4,Sterivex,particulate matter,no prefiltration,0.22,none,-80
OSD47_2019-06_1_NPL022,,,,,,,,,180,OSD47-2019_S24_L001_R1_001.fastq.gz,7d05cefbd58c8be411ddf732aec237ca4b5919650b1996bda0e66d9696ee8951,OSD47-2019_S24_L001_R2_001.fastq.gz,6116c89511f045975fed0c5c80bc8c6b8d0a7b86b0c217a4f289decf51f7d2fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD47_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_COOSDA_2_1_HYLGGDSXX.12BA056_clean.fastq.gz,9ba878b9c5f703f20847b0f9ca0beeb9,CRC_COOSDA_2_2_HYLGGDSXX.12BA056_clean.fastq.gz,bd8269dd9d28b0f0a1b1bc00405e98cb,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD48_2019-06_1_NPL022,surface water sample from the Adriatic Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD48-2019_S121_L001_R1_001.fastq.gz,5998f3016a2420bd29bed49fb7c8e5f268877ee5c689f75dc213e5f9d92c898a,OSD48-2019_S121_L001_R2_001.fastq.gz,a6c998a759ec3bd72d4d59f4683311b9715f934190acd3144227d86606e898ff,SHA-256,water,2019-06-21T08:28:00Z/2019-06-21T08:29:00Z,45.41,12.53,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,"OSD48, Venice Gulf Italy",UNIPD Boat,0,NPL022,not provided,not provided,OSD-Jun-2019,"VEZZI, Alessandro/ DE PASCALE Fabio/ SCHIAVON Ricardo, alessandro.vezzi@unipd.it/fabio.deposcale@unipd.it/riccardo.shiavon@unipd.it",not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.66,9,Sterivex,particulate matter,no prefiltration,0.22,none,-80
OSD48_2019-06_1_NPL022,,,,,,,,,180,OSD48-2019_S25_L001_R1_001.fastq.gz,ebdb085996f587ab64e2ad46e9e55dbc2fd4d81337ecf9110106c316297bcd80,OSD48-2019_S25_L001_R2_001.fastq.gz,66dc7540cd61dfe5abeb83c106f4236379c0e1d3be962fc55fe5e9983b003bc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD48_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CPOSDA_2_1_HYLGGDSXX.12BA068_clean.fastq.gz,ee5b98540593272ee34665d010b0b53a,CRC_CPOSDA_2_2_HYLGGDSXX.12BA068_clean.fastq.gz,ae8e0b7e6a2f62d7b14e55719071237c,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD49_2019-06_1_NPL022,surface water sample from the Gulf of Trieste,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD49-2019_S122_L001_R1_001.fastq.gz,b470b14eada141dfdadae201c31952083bcb58dbeadde09e445e6121098f2d00,OSD49-2019_S122_L001_R2_001.fastq.gz,09a782bba5ff01b8f41699649e4c116164f061ddd0bb535ded737afad0b4c390,SHA-256,water,2019-06-21T12:00:00Z/2019-06-21T13:00:00Z,45.53,13.55,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3385,"OSD49, Piran,Slovenia",Boja Vida,0,NPL022,24.70,37.10,OSD-Jun-2019,"TURK, Valentina/ TURK DEMRASTIA, Timotej, valentina.turk@nib.si/timotej.turkdermastia@nib.si",not provided,Sampling with boat (hired Piran Aquarium),Sampling with Niskin bottle at 5m depth (Clean bucket),Cleaning and sampling was performed according to the OSD protocol,0.50,120,Sterivex,particulate matter,no prefiltration,0.22,none,-80
OSD49_2019-06_1_NPL022,,,,,,,,,180,OSD49-2019_S26_L001_R1_001.fastq.gz,8309958103ab5d07171f6d3a18aac992f024bd0ee246987d77005b9de894f424,OSD49-2019_S26_L001_R2_001.fastq.gz,c0fd2a5b8468e00da98c3f8476e8b2a86a8630dbd92d16d31739bf67a18614e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD49_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CQOSDA_2_1_HYLGGDSXX.12BA080_clean.fastq.gz,68f8d5e7f72bff4f7090b9e02116f7a8,CRC_CQOSDA_2_2_HYLGGDSXX.12BA080_clean.fastq.gz,bc3ddb5639a64342901f751f7fa91074,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
