Sample title,CTD_Conductivity,CTD_Fluorescence (volts),CTD_ Depth (m),Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Ammonium,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,Pigments_Chlorophyll_a,Pigments_Chlorophyll_b,Pigments _Chlorophyll_c1,Pigments_Chlorophyll_c2,Pigments_ Chlorophyllide_a,Pigments_ Diadinoxanthin,Pigments_Diatoxanthin,Pigments_Fucoxanthin,Pigments _Neoxanthin,Pigments_Peridinin,Pigments _Pheophorbide_a,Pigments_ Prasinoxanthin,Pigments _ Zeaxanthin,Secchi > Secchi_Depth,SPM > SPM,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),Community Production Rate_DN15‰,Community Production Rate_DC13‰,Community Production Rate_Dissolved inorganic carbon,Community Production Rate_Total alkalinity,Community Production Rate_suspended material,Community Production Rate_bacteria abundance
OSD76_2019-06_1_NPL022,50.95 mS/cm,,0.5,1.46 μm,0.013 μm,0.014 μm,7.37 μm,0.44 μm,8.33,7.13 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD77_2019-06_1_NPL022,50.96 mS/cm,,0.5,2.65 μm,0.055 μm,0.048 μm,7.43 μm,0.24 μm,8.33,7.20 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD78_2019-06_1_NPL022,53.043 mS/cm,,0,,,,,,8.48,7.19 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD81_2019-06_1_NPL022,49.593 mS/cm,,0.2,,,,,,7.99,124.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD91_2019-06_1_NPL022,54.4 mS/cm,,1,,,30-50,,,8.19,,,4.22 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD92_2019-06_1_NPL022,53.3 mS/cm,,1,,,0.12 mg/l,,,8.01,,,4.15 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD93_2019-06_1_NPL022,48.69 mS/cm,,1,,,30-50,,,8.4,,,6.2 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD99_2019-06_1_NPL022,,,1,,,,,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD100_2019-06_1_NPL022,5.8,,1,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD122_2019-06_1_NPL022,63.8844 mS/cm,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD152_2019-06_1_NPL022,,0.6871 μg/l,1.7,0.07 mg/l,,,,,7.04,327.25 mol/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD153_2019-06_1_NPL022,,,0.2,,,,,,,102 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD159_2019-06_1_NPL022,43.077,,2,0.023 μmol/l,0.03 μmol/l,,3.10 μmol/l,,8.01,,348,,,130.2 μg/l,29.3 μg/l,,,,,,,,,,,,,,,,,1.14 μg/l,,,,,,,,,,,,,
OSD170_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD171_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD172_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD173_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD174_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD175_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD176_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD177_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD210_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD211_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD213_2019-06_1_NE08,,,2,2.42204 µmol/L,0.03971 µmol/L,0.07056 µmol/L,2.6248 µmol/L,0.78232 µmol/L,,6.2ml/l,,,,,,,,,,,,,,,,,,,,,,0.16 μg/L,,"nano=56800/L
micro=55010/L",,,,,,,,,,,
OSD219_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD220_2019-06_1_NPL022,52.45,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD223_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD224_2019-06_1_NPL022,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD227_2019-06_1_NPL022,,2.41,1.25,,,,,,,,1100 photons/m2/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD232_2019-06_1_NPL022,56.5 mS/cm,,0,,,,,,8.07,8.44 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD237_2019-06_1_NPL022,46.2181 mS/cm,,4,,,,,,8.38,9 mg/l,,0.58 FNU,,,,,2.009 μg/l,,,,,,,0.906 μg/l,,,,,,,,,,,,,,,,,,,,,
OSD238_2019-06_1_NPL022,46.894 mS/cm,,8.5 - 9.7,,,,,,8.18,8.09 mg/l,,0.19 FNU,,,,,0.497 μg/l,,,,,,,0.197 μg/l,,,,,,,,,,,,,,,,,,,,,
